date,type,rank,id,likes,downloads,tag,url
2026-07-22,模型,1,thinkingmachines/Inkling,1382,16441,image-text-to-text,https://huggingface.co/thinkingmachines/Inkling
2026-07-22,模型,2,prism-ml/Ternary-Bonsai-27B-gguf,905,432196,text-generation,https://huggingface.co/prism-ml/Ternary-Bonsai-27B-gguf
2026-07-22,模型,3,baidu/Unlimited-OCR,2629,2237351,image-text-to-text,https://huggingface.co/baidu/Unlimited-OCR
2026-07-22,模型,4,reteetzad/Kimi-K3,541,0,,https://huggingface.co/reteetzad/Kimi-K3
2026-07-22,模型,5,prism-ml/Bonsai-27B-gguf,573,1404962,text-generation,https://huggingface.co/prism-ml/Bonsai-27B-gguf
2026-07-22,資料集,1,openbmb/UltraX-Preview,246,2935,,https://huggingface.co/datasets/openbmb/UltraX-Preview
2026-07-22,資料集,2,FlyRank/internship-warehouse,311,2187,,https://huggingface.co/datasets/FlyRank/internship-warehouse
2026-07-22,資料集,3,SupraLabs/reasoning-corpus-4K-5M-v1,61,443,,https://huggingface.co/datasets/SupraLabs/reasoning-corpus-4K-5M-v1
2026-07-22,資料集,4,markov-ai/gaming-500-hours,200,32029,,https://huggingface.co/datasets/markov-ai/gaming-500-hours
2026-07-22,資料集,5,Glint-Research/Fable-5-traces,648,67452,,https://huggingface.co/datasets/Glint-Research/Fable-5-traces
2026-07-22,Spaces,1,webml-community/bonsai-webgpu-kernels,253,,Text Generation,https://huggingface.co/spaces/webml-community/bonsai-webgpu-kernels
2026-07-22,Spaces,2,ICML-2026-agent-repro/challenge,143,,Other,https://huggingface.co/spaces/ICML-2026-agent-repro/challenge
2026-07-22,Spaces,3,kulkas2pintu/wan555,620,,Video Generation,https://huggingface.co/spaces/kulkas2pintu/wan555
2026-07-22,Spaces,4,smolagents/hf-realtime-voice,447,,Chatbots,https://huggingface.co/spaces/smolagents/hf-realtime-voice
2026-07-22,Spaces,5,ATH-MaaS/OvisOCR2,72,,OCR,https://huggingface.co/spaces/ATH-MaaS/OvisOCR2
2026-07-22,模型,1,thinkingmachines/Inkling,1382,16441,image-text-to-text,https://huggingface.co/thinkingmachines/Inkling
2026-07-22,模型,2,prism-ml/Ternary-Bonsai-27B-gguf,905,432196,text-generation,https://huggingface.co/prism-ml/Ternary-Bonsai-27B-gguf
2026-07-22,模型,3,baidu/Unlimited-OCR,2629,2237351,image-text-to-text,https://huggingface.co/baidu/Unlimited-OCR
2026-07-22,模型,4,reteetzad/Kimi-K3,545,0,,https://huggingface.co/reteetzad/Kimi-K3
2026-07-22,模型,5,prism-ml/Bonsai-27B-gguf,573,1404962,text-generation,https://huggingface.co/prism-ml/Bonsai-27B-gguf
2026-07-22,資料集,1,openbmb/UltraX-Preview,246,2935,,https://huggingface.co/datasets/openbmb/UltraX-Preview
2026-07-22,資料集,2,FlyRank/internship-warehouse,311,2187,,https://huggingface.co/datasets/FlyRank/internship-warehouse
2026-07-22,資料集,3,SupraLabs/reasoning-corpus-4K-5M-v1,61,443,,https://huggingface.co/datasets/SupraLabs/reasoning-corpus-4K-5M-v1
2026-07-22,資料集,4,markov-ai/gaming-500-hours,200,32029,,https://huggingface.co/datasets/markov-ai/gaming-500-hours
2026-07-22,資料集,5,Glint-Research/Fable-5-traces,648,67452,,https://huggingface.co/datasets/Glint-Research/Fable-5-traces
2026-07-22,Spaces,1,webml-community/bonsai-webgpu-kernels,253,,Text Generation,https://huggingface.co/spaces/webml-community/bonsai-webgpu-kernels
2026-07-22,Spaces,2,ICML-2026-agent-repro/challenge,143,,Other,https://huggingface.co/spaces/ICML-2026-agent-repro/challenge
2026-07-22,Spaces,3,kulkas2pintu/wan555,620,,Video Generation,https://huggingface.co/spaces/kulkas2pintu/wan555
2026-07-22,Spaces,4,smolagents/hf-realtime-voice,447,,Chatbots,https://huggingface.co/spaces/smolagents/hf-realtime-voice
2026-07-22,Spaces,5,ATH-MaaS/OvisOCR2,72,,OCR,https://huggingface.co/spaces/ATH-MaaS/OvisOCR2
2026-07-22,模型,1,thinkingmachines/Inkling,1394,16441,image-text-to-text,https://huggingface.co/thinkingmachines/Inkling
2026-07-22,模型,2,baidu/Unlimited-OCR,2645,2237351,image-text-to-text,https://huggingface.co/baidu/Unlimited-OCR
2026-07-22,模型,3,prism-ml/Ternary-Bonsai-27B-gguf,912,432196,text-generation,https://huggingface.co/prism-ml/Ternary-Bonsai-27B-gguf
2026-07-22,模型,4,prism-ml/Bonsai-27B-gguf,578,1404962,text-generation,https://huggingface.co/prism-ml/Bonsai-27B-gguf
2026-07-22,模型,5,zai-org/GLM-5.2,4303,545109,text-generation,https://huggingface.co/zai-org/GLM-5.2
2026-07-22,資料集,1,openbmb/UltraX-Preview,248,2935,,https://huggingface.co/datasets/openbmb/UltraX-Preview
2026-07-22,資料集,2,FlyRank/internship-warehouse,311,2187,,https://huggingface.co/datasets/FlyRank/internship-warehouse
2026-07-22,資料集,3,SupraLabs/reasoning-corpus-4K-5M-v1,64,443,,https://huggingface.co/datasets/SupraLabs/reasoning-corpus-4K-5M-v1
2026-07-22,資料集,4,markov-ai/gaming-500-hours,201,32029,,https://huggingface.co/datasets/markov-ai/gaming-500-hours
2026-07-22,資料集,5,Glint-Research/Fable-5-traces,650,67452,,https://huggingface.co/datasets/Glint-Research/Fable-5-traces
2026-07-22,Spaces,1,webml-community/bonsai-webgpu-kernels,263,,Text Generation,https://huggingface.co/spaces/webml-community/bonsai-webgpu-kernels
2026-07-22,Spaces,2,ICML-2026-agent-repro/challenge,145,,Other,https://huggingface.co/spaces/ICML-2026-agent-repro/challenge
2026-07-22,Spaces,3,kulkas2pintu/wan555,627,,Video Generation,https://huggingface.co/spaces/kulkas2pintu/wan555
2026-07-22,Spaces,4,smolagents/hf-realtime-voice,447,,Chatbots,https://huggingface.co/spaces/smolagents/hf-realtime-voice
2026-07-22,Spaces,5,selfit-camera/Omni-Image-Editor,2186,,Image Editing,https://huggingface.co/spaces/selfit-camera/Omni-Image-Editor
2026-07-22,模型,1,thinkingmachines/Inkling,1409,16441,image-text-to-text,https://huggingface.co/thinkingmachines/Inkling
2026-07-22,模型,2,baidu/Unlimited-OCR,2652,2237351,image-text-to-text,https://huggingface.co/baidu/Unlimited-OCR
2026-07-22,模型,3,prism-ml/Ternary-Bonsai-27B-gguf,917,432196,text-generation,https://huggingface.co/prism-ml/Ternary-Bonsai-27B-gguf
2026-07-22,模型,4,prism-ml/Bonsai-27B-gguf,582,1404962,text-generation,https://huggingface.co/prism-ml/Bonsai-27B-gguf
2026-07-22,模型,5,poolside/Laguna-S-2.1,305,3056,text-generation,https://huggingface.co/poolside/Laguna-S-2.1
2026-07-22,資料集,1,openbmb/UltraX-Preview,249,2935,,https://huggingface.co/datasets/openbmb/UltraX-Preview
2026-07-22,資料集,2,FlyRank/internship-warehouse,312,2187,,https://huggingface.co/datasets/FlyRank/internship-warehouse
2026-07-22,資料集,3,SupraLabs/reasoning-corpus-4K-5M-v1,67,443,,https://huggingface.co/datasets/SupraLabs/reasoning-corpus-4K-5M-v1
2026-07-22,資料集,4,markov-ai/gaming-500-hours,202,32029,,https://huggingface.co/datasets/markov-ai/gaming-500-hours
2026-07-22,資料集,5,Glint-Research/Fable-5-traces,651,67452,,https://huggingface.co/datasets/Glint-Research/Fable-5-traces
2026-07-22,Spaces,1,webml-community/bonsai-webgpu-kernels,267,,Text Generation,https://huggingface.co/spaces/webml-community/bonsai-webgpu-kernels
2026-07-22,Spaces,2,ICML-2026-agent-repro/challenge,147,,Other,https://huggingface.co/spaces/ICML-2026-agent-repro/challenge
2026-07-22,Spaces,3,kulkas2pintu/wan555,634,,Video Generation,https://huggingface.co/spaces/kulkas2pintu/wan555
2026-07-22,Spaces,4,smolagents/hf-realtime-voice,448,,Chatbots,https://huggingface.co/spaces/smolagents/hf-realtime-voice
2026-07-22,Spaces,5,selfit-camera/Omni-Image-Editor,2189,,Image Editing,https://huggingface.co/spaces/selfit-camera/Omni-Image-Editor
2026-07-22,模型,1,thinkingmachines/Inkling,1417,16441,image-text-to-text,https://huggingface.co/thinkingmachines/Inkling
2026-07-22,模型,2,baidu/Unlimited-OCR,2667,2237351,image-text-to-text,https://huggingface.co/baidu/Unlimited-OCR
2026-07-22,模型,3,prism-ml/Ternary-Bonsai-27B-gguf,920,432196,text-generation,https://huggingface.co/prism-ml/Ternary-Bonsai-27B-gguf
2026-07-22,模型,4,prism-ml/Bonsai-27B-gguf,586,1404962,text-generation,https://huggingface.co/prism-ml/Bonsai-27B-gguf
